#진원시,규모,위도,경도,위치
2016-03-05 11:11,3.3,35.61 N,129.82 E,울산 동구 동북동쪽 38km 해역
2016-03-02 14:04,2.4,36.36 N,127.2 E,충남 공주시 남동쪽 12km 지역
2016-02-28 16:52,2.5,38.73 N,125.85 E,북한 황해북도 송림 동쪽 19km 지역
2016-02-26 18:46,2.2,33.23 N,127.19 E,제주 서귀포시 성산 동남동쪽 34km 해역
2016-02-24 23:22,2.9,33.52 N,125.92 E,제주 제주시 고산 북서쪽 34km 해역
2016-02-11 5:57,3.1,36.21 N,127.48 E,충남 금산군 북쪽 12km 지역
2016-01-31 3:03,2,36.95 N,129.92 E,경북 울진군 동쪽 46km 해역
2016-01-25 18:40,2.3,36.22 N,128.69 E,경북 의성군 남쪽 14km 지역
2016-01-23 7:14,2.4,38.42 N,126.25 E,북한 황해북도 평산 북서쪽 16km 지역
2016-01-06 20:39,3,36.01 N,128.07 E,경북 김천시 남쪽 14km 지역
2015-12-22 4:31,3.9,36.02 N,126.95 E,전북 익산시 북쪽 8km 지역
2015-12-11 1:25,2.1,36.90 N,126.58 E,충남 당진시 서북서쪽 5km 지역
2015-11-24 14:10,2.4,35.69 N,129.75 E,울산 동구 북동쪽 36km 해역
2015-11-24 11:27,3.2,35.67 N,129.82 E,울산 동구 동북동쪽 41km 해역
2015-11-13 20:04,2.6,35.80 N,129.42 E,경북 경주시 동남동쪽 19km 지역
2015-10-30 15:17,2.9,35.74 N,129.37 E,경북 경주시 남동쪽 18km 지역
2015-10-26 23:29,2.1,34.09 N,126.85 E,전남 완도군 남남동쪽 26km 해역
2015-10-11 0:55,2.1,33.30 N,127.02 E,제주 서귀포시 성산 남동쪽 16km 해역
2015-10-01 14:06,2.1,35.78 N,129.14 E,경북 경주시 남서쪽 9km 지역
2015-10-01 9:21,2.5,35.78 N,129.14 E,경북 경주시 남서쪽 9km 지역
2015-09-18 10:12,2.1,34.70 N,128.75 E,경남 통영시 매물도 동북동쪽 17km 해역
2015-09-03 4:53,2.7,33.27 N,127.04 E,제주 서귀포시 성산 남동쪽 20km 해역
2015-09-01 13:47,2.5,39.09 N,126.53 E,북한 평안남도 양덕 남서쪽 16km 지역
2015-08-23 9:19,2.5,36.38 N,129.77 E,경북 영덕군 동쪽 36km 해역
2015-08-17 16:56,2.5,37.20 N,125.38 E,인천 옹진군 연평도 남남서쪽 59km 해역
2015-08-12 17:09,2.2,37.17 N,127.5 E,경기 이천시 남남동쪽 13km 지역
2015-08-03 10:11,3.7,33.26 N,127.06 E,제주 서귀포시 성산 남동쪽 22km 해역
2015-08-02 3:22,2.1,37.19 N,128.44 E,강원 영월군 서북서쪽 2km 지역
2015-08-01 23:58,2.2,35.32 N,127.45 E,전남 구례군 북쪽 13km 지역
2015-07-30 9:39,2.2,35.15 N,127.98 E,경남 사천시 북서쪽 12km 지역
2015-07-23 4:02,2.6,33.22 N,127.05 E,제주 서귀포시 성산 남동쪽 24km 해역
2015-07-20 1:33,2.2,33.26 N,127.21 E,제주 서귀포시 성산 동남동쪽 34km 해역
2015-07-18 21:15,2.3,36.07 N,128.08 E,경북 김천시 남남서쪽 7km 지역
2015-07-14 14:34,2.8,33.24 N,127.01 E,제주 서귀포시 성산 남동쪽 20km 해역
2015-07-08 11:01,2,37.63 N,125.86 E,인천 옹진군 연평도 동남동쪽 14km 해역
2015-07-04 8:49,2.1,36.32 N,128.18 E,경북 상주시 남쪽 10km 지역
2015-06-22 12:44,2.4,36.35 N,127.24 E,충남 공주시 남동쪽 15km 지역
2015-06-22 12:02,2.6,35.85 N,125.0 E,충남 태안군 서격렬비도 남남서쪽 96km 해역
2015-06-17 0:55,2.3,38.41 N,125.57 E,북한 황해남도 안악 남남동쪽 13km 지역
2015-06-07 20:54,2.1,33.79 N,126.16 E,제주 제주시 북서쪽 48km 해역
2015-06-02 1:01,2,36.76 N,129.98 E,경북 울진군 동남동쪽 57km 해역
